family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
enterococcaceae	3.0809536285040607807178412400	1.3561604308935269789362316100	92.51795476471218780147925823	97.44759859517258349551484240	0.8777384482923562613603750100	0.4522460778142993682541902700	11.250892836570585931199741940	0.5922488137706507810064766400
lachnospiraceae	0.0366780193869531045323552500	0	0	0.0011184931660067556987226800	0	0.0069934960486747324987761400	0	0.0034634433553839226959443100
thermodesulfobiaceae	0	0	0.0107192625147389859577661100	0	0	0	0	0
prevotellaceae	0	0.0288544772530537655092815200	0	0	0.0023916578972543767339519800	0.0093246613982329766650348500	0.103684246906753300615193200	0
carnobacteriaceae	0.0261985852763950746659680400	0.0961815908435125516976050800	0.2429699503340836817093650600	0.0167773974901013354808402100	0.6170477374916291973596096800	0.2331165349558244166258712700	0.4354738370083638625838114300	0.0311709901984553042634987700
bifidobacteriaceae	0	0.0384726363374050206790420300	0.0821810126129988923428734800	0.0078294521620472898910587700	0.0573997895341050416148474100	0.0466233069911648833251742500	1.7395912536577498214326858800	0.0069268867107678453918886200
methylobacteriaceae	0.0733560387739062090647105100	0.0865634317591612965278445700	0.0214385250294779719155322100	0.0592801377983580520323020800	0.0406581842533244044771835800	0.1258829288761451849779704900	0.0691228312711688670767954700	7.1000588785370415266858310500
rhizopodaceae	0	0	0	0	0.019133263178035013871615800	0	0	0
anaerolineaceae	0	0	0.0107192625147389859577661100	0.0123034248260743126859494900	0.0047833157945087534679039500	0.0023311653495582441662587100	1.8225386511831524619248404400	0
strongyloididae	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
ruminococcaceae	0	0.0480907954217562758488025400	0	0.0134219179920810683846721700	0.009566631589017506935807900	0.0046623306991164883325174300	1.9031819543328494735144351500	0.0138537734215356907837772300
