identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
enterococcus sp.	0.0471574534975111343987424700	0.0288544772530537655092815200	0.3680674671240708976558033200	0.4720146749586148270770882700	0.0430498421505787812111355600	0.0233116534955824416625871300	0.0346476335666273993486244900	0.0242441034876874588716101500
anaerolineales	0	0	0	0.0011185181871057223390452300	0	0	0.0531263714688286790012242200	0
peptoniphilus asaccharolyticus	0.0314383023316740895991616500	0	0	0	0.1315411843489907203673586500	0.0093246613982329766650348500	0	0
ohtaekwangia spp.	0	0	0.17152658662092624356775300	0	0	0	0	0
helcobacillus massiliensis	0	0.0288544772530537655092815200	0	0	0	0	0	0
chloroflexus spp.	0	0	0.0357347055460263007432818800	0.0011185181871057223390452300	0.0263082368697981440734717300	0.0209804881460241974963284100	0	0
cyanobacterium spp.	0	0	0	0	0	0	0.0115492111888757997828748300	0
brachybacterium arcticum	0	0	0	0.0011185181871057223390452300	0	0.0233116534955824416625871300	0.1039429006998821980458734700	0.0138537734215356907837772300
sphingomonas wittichii	0	0	0	0	0	0.0069934960486747324987761400	0	0
sphingobium sp.	0	0	0	0.0011185181871057223390452300	0	0.1958178893628925099657318700	0.0023098422377751599565749700	0.0034634433553839226959443100
acinetobacter towneri	0.0419177364422321194655488600	0.0673271135904587861883235500	0.0071469411092052601486563800	0.0044740727484228893561809300	0.4568066583755859561848273200	0.0489544723407231274914329700	0.2471531194419421153535213500	0.0069268867107678453918886200
thermomonas fusca	0	0.0673271135904587861883235500	0	0	0	0	0	0
acidobacterium spp.	0	0	0	0	0	0	0	0.0138537734215356907837772300
burkholderia	0	0.0384726363374050206790420300	0	0	0	0	0	0
frigoribacterium sp.	0.0052397170552790149331936100	0	0	0.0022370363742114446780904700	0.0047833157945087534679039500	0.0139869920973494649975522800	0.0115492111888757997828748300	0.0831226405292141447026633900
alkanindiges illinoisensis	0	0	0	0.006711109122634334034271400	0	1.0327062498543021656526097400	0.0300279490910770794354745600	0.0034634433553839226959443100
mycoplana sp.	0	0	0.0071469411092052601486563800	0	0	0.0466233069911648833251742500	0.2078858013997643960917469300	0
anaerobiospirillum	0	0	0	0	0	0.018649322796465953330069700	0	0
lentzea spp.	0	0	0	0.0011185181871057223390452300	0.0358748684588156510092796300	0	0	0
actinomadura sp.	0	0	0	0	0	0	0.0369574758044025593051994500	0
acidovorax delafieldii	0.0366780193869531045323552500	0	0.1751000571755288736420811900	0.0044740727484228893561809300	0.0047833157945087534679039500	0.4778888966594400540830361100	0.0115492111888757997828748300	0.0034634433553839226959443100
enterobacteriaceae	0.1152737752161383285302593700	0.1923631816870251033952101600	0	0.0022370363742114446780904700	0.2056825791638763991198698900	0.0139869920973494649975522800	0.0623657404199293188275240800	0.0034634433553839226959443100
methylophilus spp.	0.0052397170552790149331936100	0	0	0	0.0502248158423419114129914900	0	0	0
rhodopseudomonas spp.	0	0	0	0	0.0263082368697981440734717300	0	0	0
rhodoplanes	0	0	0	0	0	0	0.0392673180421777192617744200	0
sphingomonas	0	0.0096181590843512551697605100	0	0	0.0382665263560700277432316100	0.0512856376902813716576916800	0	0.0034634433553839226959443100
clostridiaceae	0	0	0.0035734705546026300743281900	0	0	0	0.2956598064352204744415956400	0
stenotrophomonas maltophilia	0.0104794341105580298663872200	0.0192363181687025103395210200	0.0107204116638078902229845600	0.0044740727484228893561809300	0.4376733951975509423132115200	0.018649322796465953330069700	0.6744739334303467073198900500	0.0103903300661517680878329200
siphonobacter sp.	0.0261985852763950746659680400	0	0	0	0	0	0	0
acidobacteria	0	0	0	0	0	0	0.0646755826577044787840990500	0
thiorhodospira	0	0	0	0	0	0	0.0254082646155267595223246300	0
corynebacterium glucuronolyticum	0	0	0	0	0	0.0093246613982329766650348500	0	0
uncultured candidatus microthrix sp.	0	0.0577089545061075310185630500	0	0	0	0	0	0
thermomonas spp.	0	0	0	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.2887302797218949945718707400	0
rufibacter sp.	0	0	0.1465122927387078330474556900	0	0	0	0	0
pythiaceae	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022370363742114446780904700	0.0047833157945087534679039500	0	0.0461968447555031991314993200	0
rhizobium sp.	0	0	0.0071469411092052601486563800	0.0011185181871057223390452300	0.0023916578972543767339519800	0.0559479683893978599902091100	0.3534058623795994733559697900	0.0034634433553839226959443100
blautia ruminococcus gnavus	0.0157191511658370447995808200	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0	0.0396298109424901508263981200	0	0
daeguia caeni	0	0.0096181590843512551697605100	0.0821898227558604917095483100	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.3395468089529485136165199900	0
prevotella sp.	0	0	0	0	0.0023916578972543767339519800	0	0.1039429006998821980458734700	0
ruminococcaceae	0	0	0	0.0011185181871057223390452300	0	0	0.013859053426650959739449800	0
porphyromonas spp.	0	0	0	0	0.0023916578972543767339519800	0.0279739841946989299951045500	0	0
pedosphaera spp.	0	0	0	0	0	0	0	0.0554150936861427631351089300
sediminibacterium salmoneum	0	0	0	0.003355554561317167017135700	0	0.2167983775089167074620602800	0.6421361421014944679278405300	0.0069268867107678453918886200
rhizobium mongolense	0	0	0	0	0.0023916578972543767339519800	0.0209804881460241974963284100	0	0
chelatococcus sp.	0	0	0.0107204116638078902229845600	0	0	0	0	0
streptococcus salivarius	0.0523971705527901493319360800	0.2693084543618351447532942200	0.2823041738136077758719268200	0.0055925909355286116952261600	0.0956663158901750693580790200	0.0885842832832132783178310800	0.718360935948074746494814400	0.04502476361999099504727600
staphylococcus epidermidis	0.5868483101912496725176840500	0.1923631816870251033952101600	0.0786163522012578616352201300	0.0223703637421144467809046600	0.6887974744092604993781689500	0.1911555586637760216332144400	1.0856258517543251795902339900	0.0277075468430713815675544600
poales	0	0	0	0	0	0	0	0.0311709901984553042634987700
exiguobacterium panipatensis	0.0052397170552790149331936100	0	0.0035734705546026300743281900	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.1755480100709121566996974100	0
