genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
neisseria	0	0.0192363181687025103395210200	0.0285847000393039625540429500	0	0	0	0	0
dolosigranulum	0	0.0096181590843512551697605100	0	0	0	0	0	0.0242441034876874588716101500
lactobacillus	0	0.0192363181687025103395210200	0.4823668131632543680994747600	0.0100664384940608012885041300	0.0669664211231225485506553100	0.0046623306991164883325174300	0.0391696043869956913435174300	0.1004398573061337581823849300
geodermatophilus	0	0	0	0	0	0.0163181574469077091638109900	0.0023040943757056289025598500	0
alkalibacterium	0	0	0	0.0022369863320135113974453600	0	0.0326363148938154183276219800	0.2258012488191516324508651900	0
solobacterium	0	0.0192363181687025103395210200	0	0.0011184931660067556987226800	0	0	0	0
lentzea	0	0	0	0.0011184931660067556987226800	0.0358748684588156510092796300	0	0	0
coprothermobacter	0	0	0.0107192625147389859577661100	0	0	0	0	0
aminobacter	0.0576368876080691642651296800	0	0	0	0	0.0419609762920483949926568300	0.0921637750282251561023939500	0
leptolyngbya	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
tistrella	0	0	0	0	0	0	0.0437777931384069491486371300	0
ignavibacterium	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
alkalibacter	0	0	0	0.0011184931660067556987226800	0	0.0069934960486747324987761400	0.3248773069744936752609386900	0
dechloromonas	0	0	0.0250116125343909672347875800	0	0	0	0	0
methylobacterium	0.0733560387739062090647105100	0.0865634317591612965278445700	0.0214385250294779719155322100	0.0592801377983580520323020800	0.0406581842533244044771835800	0.1258829288761451849779704900	0.0691228312711688670767954700	7.1000588785370415266858310500
gemella	0.0419177364422321194655488600	0	0.0035730875049129953192553700	0	0	0	0	0
malassezia	0	0	0	0	0	0	0.0115204718785281445127992400	0
rhodopseudomonas	0	0	0	0	0.0263082368697981440734717300	0	0.2050643994378009723278265500	0
pantoea	33.314121037463976945244956770	18.053284601327305953640473210	0.6109979633401221995926680200	0.8981500123034248260743126900	85.57112790586434516406773175	4.8698044152271720633144508900	29.810373032879426741319324440	3.0097322758286288227756035100
dokdonella	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0033554794980202670961680400	0.0047833157945087534679039500	0.018649322796465953330069700	1.0368424690675330061519319800	0.0069268867107678453918886200
anaerobiospirillum	0	0	0	0	0	0.018649322796465953330069700	0	0
halothiobacillus	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0	0.1658947950508052809843091200	0
longilinea	0	0	0.0071461750098259906385107400	0.0100664384940608012885041300	0	0	1.1681758484827538535978433700	0
aridibacter	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.5483744614179396788092440300	0
bosea	0	0	0	0	0.0860996843011575624222711200	0.0023311653495582441662587100	0.099076058155342042810073500	0.0034634433553839226959443100
rhodococcus	0.0209588682211160597327744300	0	0	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0349674802433736624938806900	0.2004562106863897145227068500	0.0103903300661517680878329200
oxalobacter	0.1205134922714173434634529700	0.0577089545061075310185630500	0.0535963125736949297888305300	0.0559246583003377849361340400	0.1817660001913326317803501400	0.0815907872345385458190549500	0.1244210962881039607382318400	10.175596578117964880684376410
spiroplasma	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
mesorhizobium	0	0	0	0	0.0286998947670525208074237100	0.0116558267477912208312935600	0	0
klebsiella	0.0157191511658370447995808200	0.0384726363374050206790420300	0	0.005592465830033778493613400	0.0860996843011575624222711200	0.0046623306991164883325174300	0.0529941706412294647588765200	0
haliangium	0	0	0	0	0	0	0	0.0103903300661517680878329200
agrobacterium	0	0	0	0	0	0.1981490547124507541319905800	0	0
pelistega	0.0052397170552790149331936100	0	0	0	0	0	0	0.0069268867107678453918886200
thiomicrospira	0	0	0	0.0011184931660067556987226800	0	0	0.0529941706412294647588765200	0
photobacterium	0	0	0	0	0	0.0396298109424901508263981200	0	0
peptoniphilus	0.0314383023316740895991616500	0	0	0	0.1315411843489907203673586500	0.0093246613982329766650348500	0	0
