species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
prosthecobacter debontii	0	0	0	0	0	0.0093346713028867471004177300	0	0
aridibacter acidobacteria bacterium	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.5527171388759869948908499800	0
lactococcus lactis	0.0401956186775641455081396100	0.0542005420054200542005420100	0	0.0033610056128793735085537600	0	0.0256703460829385545261487500	0.0534138411518810961449140700	0
clostridium sp.	0	0	0	0	0	0	0.0510915002322340919647004200	0
geobacter spp.	0	0	0	0	0	0	0.1695308871342313051555968400	0
cryocola spp.	0.006699269779594024251356600	0.0180668473351400180668473400	0.0359958244843598142615456600	0.0044813408171724980114050100	0.0072376357056694813027744300	0	0.5805852299117510450534138400	0.0589540851713136357331113900
enterococcus lactis	0	0	0.0827903963140275728015550200	0.1254775428808299443193403500	0	0	0	0.0034678873630184491607712600
dolosigranulum pigrum	0	0.0180668473351400180668473400	0	0	0	0	0	0.0242752115411291441253988100
peptoniphilus asaccharolyticus	0.0401956186775641455081396100	0	0	0	0.1326899879372738238841978300	0.0093346713028867471004177300	0	0
rufibacter sp.	0	0	0.1475828803858752384723372100	0	0	0	0	0
spiroplasma spp.	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
thermomonas fusca	0	0.1264679313459801264679313500	0	0	0	0	0	0
roseburia spp.	0.0267970791183760970054264100	0	0	0	0	0	0	0.0034678873630184491607712600
nubsella zeaxanthinifaciens	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0816783739002590371286551100	0.4296330701346957733395262400	0
acidovorax avenae	0.006699269779594024251356600	0.0180668473351400180668473400	0.0179979122421799071307728300	0.0022406704085862490057025100	0.0072376357056694813027744300	0.3290471634267578352897248600	0.5318160705991639572689270800	0.0069357747260368983215425200
roseovarius sp.	0	0	0	0	0	0.0396723530372686751767753400	0	0
pseudoxanthomonas taiwanensis	0.013398539559188048502713200	0.0180668473351400180668473400	0.0575933191749757028184730600	0.0022406704085862490057025100	0.0120627261761158021712907100	0.0070010034771650603253132900	1.1658151416627960984672549900	0.0069357747260368983215425200
ignavibacterium spp.	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
rhodopseudomonas spp.	0	0	0	0	0.0265379975874547647768395700	0	0	0
methylobacterium adhaesivum	0.0937897769143163395189924300	0.1445347786811201445347786800	0.021597494690615888556927400	0.0593777658275355986511164100	0.0386007237635705669481302800	0.0723437025973722900282373800	0.0696702275894101254064096600	7.1091690941878207795810792100
salmonella enterica	49.353520466269176659744087890	56.025293586269196025293586270	0.1151866383499514056369461100	0.1378012301280543138507041300	1.1749095295536791314837153200	0.3593848451611397633660824700	0.1625638643752902926149558800	0.1595228186988486613954778700
chelatococcus sp.	0	0	0.010798747345307944278463700	0	0	0	0	0
frigoribacterium sp.	0.006699269779594024251356600	0	0	0.0022406704085862490057025100	0.0048250904704463208685162800	0.0140020069543301206506265900	0.0116117045982350209010682800	0.083229296712442779858510200
alkalibacterium thalassios	0	0	0	0.0022406704085862490057025100	0	0	0.2275894101254064096609382300	0
micavibrio sp.	0	0	0	0	0	0	0.0789595912679981421272642800	0
laceyella sp.	0	0.1445347786811201445347786800	0	0	0	0	0	0
tepidimonas spp.	0.0334963488979701212567830100	0.0903342366757000903342366800	0.1331845505921313127677189400	0.0022406704085862490057025100	0.01688781664656212303980700	0.0210030104314951809759398800	0.9266140269391546679052484900	0
actinomyces sp.	0	0.0542005420054200542005420100	0.0071991648968719628523091300	0.0067220112257587470171075200	0.0048250904704463208685162800	0.0023336678257216867751044300	0.7524384579656293543892243400	0.0034678873630184491607712600
nocardioides caeni	0.013398539559188048502713200	0	0	0	0.0024125452352231604342581400	0	0	0
