identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
acinetobacter towneri	0.0535941582367521940108528200	0.1264679313459801264679313500	0.0071994240460763138948884100	0.0044814412315000504162138500	0.4607961399276236429433051900	0.0490070243401554222771930600	0.2491094917700742672223127600	0.0069357747260368983215425200
thermomonas fusca	0	0.1264679313459801264679313500	0	0	0	0	0	0
acidobacterium spp.	0	0	0	0	0	0	0	0.0138715494520737966430850300
burkholderia	0	0.0722673893405600722673893400	0	0	0	0	0	0
frigoribacterium sp.	0.006699269779594024251356600	0	0	0.0022407206157500252081069300	0.0048250904704463208685162800	0.0140020069543301206506265900	0.0116406304565455265057155500	0.083229296712442779858510200
alkanindiges illinoisensis	0	0	0	0.0067221618472500756243207800	0	1.0338148467947072413712632100	0.0302656391870183689148604300	0.0034678873630184491607712600
mycoplana sp.	0	0	0.0071994240460763138948884100	0	0	0.0466733565144337355020886300	0.2095313482178194771028798900	0
anaerobiospirillum	0	0	0	0	0	0.0186693426057734942008354500	0	0
lentzea spp.	0	0	0	0.0011203603078750126040534600	0.0361881785283474065138721400	0	0	0
actinomadura sp.	0	0	0	0	0	0	0.0372500174609456848182897600	0
acidovorax delafieldii	0.0468948884571581697594962100	0	0.1763858891288696904247660200	0.0044814412315000504162138500	0.0048250904704463208685162800	0.4784019042729457888964084900	0.0116406304565455265057155500	0.0034678873630184491607712600
enterobacteriaceae	0.1473839351510685335298452500	0.361336946702800361336946700	0	0.0022407206157500252081069300	0.2074788902291917973462002400	0.0140020069543301206506265900	0.0628594044653458431308639700	0.0034678873630184491607712600
methylophilus spp.	0.006699269779594024251356600	0	0	0	0.0506634499396863691194209900	0	0	0
rhodopseudomonas spp.	0	0	0	0	0.0265379975874547647768395700	0	0	0
rhodoplanes	0	0	0	0	0	0	0.0395781435522547901194328700	0
sphingomonas	0	0.0180668473351400180668473400	0	0	0.0386007237635705669481302800	0.051340692165877109052297500	0	0.0034678873630184491607712600
clostridiaceae	0	0	0.003599712023038156947444200	0	0	0	0.2980001396875654785463180700	0
stenotrophomonas maltophilia	0.013398539559188048502713200	0.0361336946702800361336946700	0.0107991360691144708423326100	0.0044814412315000504162138500	0.4414957780458383594692400500	0.0186693426057734942008354500	0.6798128186622587479337880900	0.0104036620890553474823137700
siphonobacter sp.	0.0334963488979701212567830100	0	0	0	0	0	0	0
acidobacteria	0	0	0	0	0	0	0.0651875305566549484320070800	0
thiorhodospira	0	0	0	0	0	0	0.0256093870044001583125742100	0
corynebacterium glucuronolyticum	0	0	0	0	0	0.0093346713028867471004177300	0	0
uncultured candidatus microthrix sp.	0	0.1084010840108401084010840100	0	0	0	0	0	0
thermomonas spp.	0	0	0	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.2910157614136381626428887400	0
